Станция,Номер линии,Линия,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
Парк культуры,8,СОКОЛЬНИЧЕСКАЯ,5894,13101,8084,10186,18060,16240,1508,6567,7603,2324,2539,16155,1513,8021,15946,19842,13751,14595,11209,9797,10207,4190,17581,2570,12689,19491,14840,5459,12084,1752,15546,16919,7057,1247,8554,8342,7649,5468,4933,4198,3438,12770,12023,6776,5972,15932,1454,18640,3563,18338,1783,10987,11666,8447,7644,7681,10647,3183,3793,17471,11107,4206,5795,7213,1557,3053,7267,9606,15600,11548,7353,12290,12748,4942,15013,2532,9288,9609,15487,19997,4920,1903,19734,16131,17675,8137,11797,1190,11094,16353,12391,9532.984543744431
Фрунзенская,8,СОКОЛЬНИЧЕСКАЯ,9248,5394,16654,19201,5340,10047,15493,5755,13793,1630,7003,7331,3682,4065,9809,12366,19989,15047,11494,12349,14898,4476,4061,2800,5272,18282,7224,16090,12627,19971,12131,19960,11313,1086,3984,18864,7703,7117,15083,8947,16504,14304,11442,3342,9459,16760,8255,13093,13542,17732,1774,18909,19624,14608,17158,7838,3578,6768,13965,7003,5125,19077,8752,13731,4853,8418,3105,7293,11749,12951,14334,17764,11414,5982,12613,13687,15568,5228,15603,8143,5580,14547,9655,5171,15681,13849,5586,17267,14406,15765,5998,8284.63778162762
Спортивная,8,СОКОЛЬНИЧЕСКАЯ,7215,1975,19416,17702,8707,13495,10028,12623,14334,12226,17311,11429,10979,1849,4914,19190,4467,19318,4420,13633,6498,6838,2789,9557,8003,13143,14154,14298,17932,16600,3253,4884,19633,14428,12462,19062,16841,19766,19134,14110,10281,3581,14945,15033,6260,18412,18862,18246,8860,14273,11532,19883,2356,7444,1560,13509,11600,10038,17377,17294,2443,14940,8286,12538,3549,1434,9492,7360,17037,13644,8528,3715,1080,2636,12145,14367,1521,4949,6995,15800,10502,11620,12058,3218,15544,2284,13280,18431,4333,8655,5511,10230.232475894509
Воробьёвы горы,8,СОКОЛЬНИЧЕСКАЯ,12061,3553,17335,1586,14097,8336,17558,14328,4121,14524,18187,7017,4426,19224,11968,19542,17807,11708,6923,7582,3103,2953,8907,16324,1165,9355,1425,10785,12579,13749,13183,7952,9808,15884,11460,17711,4097,10065,14373,19779,15855,15122,6550,6150,15064,11555,14766,7977,7286,2465,18132,12428,6471,5919,5603,13381,17025,5215,3470,8645,3494,16644,9401,19030,1900,8996,5935,11388,13826,14713,4687,5211,3925,3816,12673,12814,4688,17763,13729,1182,10840,15552,13674,16978,12786,11047,8557,5797,1419,9107,19841,17321.536237618144
Университет,8,СОКОЛЬНИЧЕСКАЯ,16490,2853,14184,16816,13533,16501,1890,7408,10932,7438,6688,12104,16802,2240,4920,8596,10543,15824,16051,3884,19069,11202,1850,18958,5935,18795,3312,2106,12587,12981,6818,5802,17179,19341,13366,1327,12953,6531,12461,4628,2600,6329,14691,11967,17381,2576,13453,5873,10472,18796,7207,15984,16230,9665,9886,7006,9593,18974,3226,16754,16955,13502,18692,19345,7948,12123,12465,5363,4978,6706,4388,17609,8344,3522,6282,18785,5612,13302,11494,15045,18099,15538,3539,11615,18529,3226,5584,11633,2250,12055,18249,2080.4217709758886
Проспект Вернадского,8,СОКОЛЬНИЧЕСКАЯ,7202,4839,9052,8267,7743,5473,1288,2544,10809,7780,1364,4636,11603,11003,4659,14042,1042,6217,17432,17654,7257,13705,14359,5162,11562,17977,19084,9484,14698,7589,15043,2294,17657,1385,4509,3792,9789,11519,2784,4225,11267,16997,7377,14497,10223,1846,9782,11876,9085,17353,17750,17943,9672,18936,9494,9795,11151,15198,12074,5446,17763,14128,7502,11645,2846,14297,18258,7364,11070,12343,8821,15255,15137,9134,17949,12746,19929,14000,8628,2320,12441,14590,13628,2364,15556,18516,4240,19419,1565,5150,11774,5403.321218757897
Юго-западная,8,СОКОЛЬНИЧЕСКАЯ,15831,3300,1511,8792,19587,16138,12939,9945,1888,2738,3851,6546,5873,6353,8277,14815,17470,3369,18069,4567,11051,4386,18548,10631,13831,8955,18248,15620,10504,16736,8299,10381,16559,3554,9517,14270,15793,10040,10753,3557,17383,10578,7031,13923,11884,5611,11061,8940,18690,9332,2606,8721,13827,13703,17257,17125,3833,1894,5444,3188,18263,12692,13625,11393,9454,4064,1391,10515,18176,11344,5259,18635,5576,17992,17482,15434,9919,11500,1659,9213,5775,12398,9497,19882,14547,2971,1856,3166,8413,10825,9441,11986.609840934085
Красногвардейская,9,ЗАМОСКВОРЕЦКАЯ,6051,13437,2123,3030,16153,14995,15250,3671,17345,17237,16890,16617,15166,6039,4734,13710,12248,8719,9966,18939,9005,14247,5243,15294,18352,1591,15017,18628,17668,15416,5422,9810,18977,7663,13011,19250,2383,4273,12489,6988,7528,12152,19220,6110,5217,7837,6001,19557,12851,13247,10774,3444,17239,17591,15073,12370,10383,10168,10775,14340,7375,10357,18864,16783,11458,11286,19935,6164,13340,8497,8614,4523,7495,15435,18684,3279,10279,5943,16600,7052,7690,17837,19976,2169,2318,2998,4936,11612,11851,5712,9598,4948.992966649692
Домодедовская,9,ЗАМОСКВОРЕЦКАЯ,3426,11727,3786,15936,2001,12858,8597,18731,4815,5201,19021,3347,2524,12667,13204,18635,12626,19467,15623,7250,2468,8095,4065,19957,9144,3098,11919,15430,19854,12367,12657,11117,9894,8178,3128,8294,6597,4264,10763,12774,13481,10354,16403,3713,3941,15922,15010,5735,15999,16996,3251,1459,14723,13637,7560,19431,19169,13263,4284,8997,7186,15183,16108,9695,3056,13120,17019,16365,6247,14351,15661,3176,11054,13407,10610,4459,13971,13858,11721,19900,17401,9079,18514,4755,3680,5748,13710,17418,14433,8298,11461,12671.37164370936
Орехово,9,ЗАМОСКВОРЕЦКАЯ,17104,7047,8454,2837,7679,9902,19363,7530,7843,3845,4512,6306,4598,19511,7716,9970,1042,19299,6658,11514,9761,3707,18143,4002,14729,8893,4150,3698,4699,5114,4702,12793,1520,3774,3274,16816,7959,9932,5218,17000,2591,2116,10768,1010,12261,7727,9464,17556,18448,19177,14534,6323,5063,10945,19359,6153,19080,8491,6714,14996,5713,14747,8259,6152,14916,2804,19480,5967,12177,7656,14512,1147,16406,5939,2273,15050,7033,5103,4242,9958,10395,7204,16917,17521,3324,16549,4193,3373,2148,18827,3636,14582.029261625266
Царицыно,9,ЗАМОСКВОРЕЦКАЯ,10680,8101,9311,17501,19085,7301,15544,19737,1099,12317,10873,19462,7871,8024,10825,1742,11060,4722,13948,17227,2836,10684,19824,7342,17992,9200,8104,14300,19537,19272,18184,1739,6131,17578,14006,1676,10056,6113,3559,6091,10674,10418,4621,8596,5436,2816,11789,7206,14714,6400,5452,12922,8141,6418,4208,17986,4437,10212,7282,14793,9525,18397,11003,16230,19886,3475,8125,10143,15333,13911,14758,7320,7235,11799,15052,16793,5845,2153,19790,3481,8139,1112,18709,9090,7691,5458,2690,16686,4645,1137,10845,3366.458354536987
Кантемировская,9,ЗАМОСКВОРЕЦКАЯ,15923,11768,3683,18040,12816,17839,4213,12225,18192,17463,5387,4186,17279,10262,17970,4784,1748,19222,16302,8624,1183,14678,9820,14147,8514,10826,9341,15563,15149,3399,4526,14519,15707,17327,5001,16217,14990,8902,4833,10763,1186,11583,12721,14245,3586,15259,16704,12154,13405,3609,6022,19679,12022,19964,8245,18071,7993,17678,4448,17297,13795,6059,6403,2584,15368,6402,17203,6309,19341,12268,1718,18745,5869,1754,3266,4573,8466,18817,4828,3617,17799,3876,4976,4367,16306,13626,13003,17475,16501,3170,10743,13092.391107256773
Коломенская,9,ЗАМОСКВОРЕЦКАЯ,13968,12475,2127,10932,15834,6928,19464,8329,11445,7479,2673,6257,11964,14415,17709,18111,4108,15999,11788,6687,15491,15042,8650,2957,6335,15556,12425,4562,9782,14216,7078,16693,19175,1280,8835,13148,9989,5845,5506,8360,3524,4717,12403,5141,8529,19018,8983,10001,9212,4608,2214,2036,1893,13927,18913,1334,9729,13632,15917,6963,19406,6427,7727,15625,6640,11323,1596,18482,13139,3048,16896,1408,16339,10616,6996,7829,2786,11427,2757,3475,16729,2365,16854,15330,18005,16203,14337,9055,17522,14484,8057,8268.320407828254
Автозаводская,9,ЗАМОСКВОРЕЦКАЯ,11398,1071,11520,9951,15913,17252,10338,12712,4884,6019,10495,16883,8437,5162,5102,10446,5016,10108,11870,9009,5642,5927,13628,3843,8539,6206,5908,6568,10306,10623,18907,19215,10458,16006,13366,3431,10626,8641,2469,8392,19749,14426,4058,1659,1596,10244,9499,13794,5133,12653,3440,2026,6116,9685,10440,4543,2078,9825,1557,14821,6446,16022,16286,12956,7876,16406,7207,5810,16698,10170,18996,2305,19329,7096,6188,2294,16682,6228,15265,14497,15748,2796,16374,10242,5001,11804,3521,2815,17791,10033,8627,14947.382908087231
Павелецкая,9,ЗАМОСКВОРЕЦКАЯ,9253,12885,7665,17503,5326,13653,11144,12988,13357,3467,17141,5720,5329,14030,11631,15337,1505,1525,9865,1458,17742,4929,12387,2718,3104,16731,6960,14853,7155,12829,10535,17959,19288,9349,15164,17178,1671,11509,10640,12814,5367,3400,7367,2184,8026,10771,18141,10306,16358,19005,2252,14137,11699,11305,8429,14803,9066,3958,3813,14195,4993,9035,15074,12673,6705,11470,7635,5964,2346,19439,7669,19335,14031,18308,3771,9241,6308,8147,1730,11265,13293,2304,18090,3998,1096,14335,10573,9693,10780,18498,1121,5741.418028364901
Новокузнецкая,9,ЗАМОСКВОРЕЦКАЯ,11523,3326,7728,1238,18335,8843,19765,12975,10763,7951,17286,9966,2267,6529,11598,2180,2310,19918,2264,3968,9510,19076,6885,9987,18768,16889,1935,13193,1166,5228,4318,1678,6306,11015,18972,17919,1161,17417,6684,10994,3695,2593,18568,8717,5358,13358,6125,1051,12685,15262,12101,18008,3207,10967,12353,3225,19325,17264,2212,18240,13268,4204,13325,13190,4602,19361,3215,7410,17115,13070,10049,13316,15982,13917,6700,11522,17739,3332,15726,8229,19135,6697,3720,7805,18038,13447,13122,15221,1759,5054,7997,6802.114747208943
Театральная,9,ЗАМОСКВОРЕЦКАЯ,2609,12235,3435,12517,9043,10576,6728,2204,14805,2894,18916,8232,4744,5066,13164,1784,2768,10051,8857,17705,10083,1816,15286,6001,19737,16686,9286,5046,4633,5498,18597,13822,6725,8509,10540,7783,16737,8566,5429,5937,1643,4636,10144,1754,7171,3606,3769,5977,19135,4161,13980,3155,2913,5424,13511,5905,7458,17419,15994,7208,12702,5175,17304,12093,15352,15168,3730,16542,15784,5345,8864,10058,10937,19786,13871,19503,4361,8215,16759,10323,12326,17696,11362,19137,13844,11449,5641,19902,19282,8416,8635,17661.264252988447
Тверская,9,ЗАМОСКВОРЕЦКАЯ,3256,8052,1261,14390,19112,7521,17438,13409,19687,3620,10371,8296,7044,13417,1904,19840,5844,8449,9303,3825,19699,6671,5980,12223,17398,18660,6270,5235,13448,11517,12521,5800,3941,11931,5185,6793,7015,7506,9434,19429,3333,1822,6643,9879,17371,14544,10453,19326,17126,19545,3098,9847,12713,13548,10438,18364,8951,7560,5206,12009,16244,7102,7141,2655,10941,2543,10501,8356,16580,9398,10067,7510,11199,1924,6543,9786,19006,2833,11298,13538,8183,16316,3770,6372,4986,19970,14811,7953,4795,18403,8409,5962.529194258427
Маяковская,9,ЗАМОСКВОРЕЦКАЯ,13239,2722,8139,2548,8290,16957,5582,1966,12382,8655,10999,16417,4626,5987,14831,13434,16238,12245,17600,18990,13077,4637,13245,6352,9881,4827,1584,2590,14364,1084,18425,17550,8333,12294,19349,12389,11382,5703,3249,13283,3314,8075,6084,7093,12550,5785,9984,18230,14604,15112,15307,5874,19074,12083,8238,15267,13934,18102,6141,11101,3919,7366,9101,1902,5965,10864,12178,2442,16488,5251,9312,2860,8297,18957,1679,14724,11539,19880,12810,14529,6383,2589,16458,11040,2566,6240,9091,4210,10771,9623,15401,10849.554120965888
Белорусская,9,ЗАМОСКВОРЕЦКАЯ,7052,7588,10348,6107,5068,7547,4299,6771,19599,13092,5197,19225,4162,15827,14305,19308,1744,10808,3821,14841,19188,15969,15413,19914,18979,1715,8153,15785,11316,18125,12668,3094,8135,8663,15279,8552,10656,16000,12538,5933,6987,6447,11448,17579,1304,17935,9667,11082,10183,12582,1012,6510,11860,14291,9609,18656,16358,13116,12964,19407,1563,17461,10380,12079,10894,13614,17416,10618,16996,12121,8609,9877,2605,5927,3709,15563,10774,13625,14849,5030,14297,4656,4599,11471,15186,5883,13767,10460,15495,5710,13164,7286.664270280019
Динамо,9,ЗАМОСКВОРЕЦКАЯ,13537,19905,18427,16368,6851,12632,2677,1463,12380,18060,7829,7676,14124,14322,7630,17978,1668,11040,8647,2507,8091,13081,16719,14847,8941,12266,6283,2437,17942,19935,12470,5994,8744,11186,2430,18745,18080,19880,15469,1466,13690,4563,16903,15374,15154,2896,14119,13543,8103,14213,11218,8075,1768,9127,3469,2608,15727,16067,8650,2304,18840,7680,18166,17228,17681,16750,9771,16015,8124,10284,5479,17882,7334,18817,9941,7218,7884,15852,16280,17483,2643,1468,4360,11901,8305,4494,8506,13365,14565,18004,13884,10502.007284439176
Аэропорт,9,ЗАМОСКВОРЕЦКАЯ,6244,15590,1747,17836,1505,10749,3730,19744,16333,9431,18882,19572,3740,14191,18615,7549,12126,9861,18091,16924,6333,17982,10570,3170,1289,10189,8705,6573,11043,6329,19935,5889,15325,19770,4029,10338,18450,17292,5867,6604,7808,3954,11075,8614,4174,10701,6655,13482,12634,17286,1459,2766,16990,3442,11632,4752,12827,6554,5169,13441,10088,12498,3466,16693,17767,13395,9015,19494,6516,7544,17957,16996,1470,1602,4887,7282,4081,5179,15303,9572,6330,13119,11290,2897,17953,14238,2413,12592,16191,9676,11923,5820.009400161634
Сокол,9,ЗАМОСКВОРЕЦКАЯ,15448,12955,18296,15684,11489,15038,10246,4684,6414,3941,19297,17510,10175,9079,9081,15252,11969,17728,13196,18201,5677,11905,9227,14307,3995,18047,17575,16651,10665,9650,4797,1767,16799,2417,19542,1671,13846,16156,14280,11736,17825,16063,19462,17091,16684,12207,6966,1712,9488,10171,10240,9348,5785,18367,16421,14729,13893,18907,11592,2081,5558,8105,12235,15041,12572,10073,3880,2413,12049,18238,8818,15978,3502,6945,5134,8728,10277,18395,18472,16987,12746,4021,9873,15774,7050,1473,7171,19263,18818,13608,4221,5377.630208282654
Войковская,9,ЗАМОСКВОРЕЦКАЯ,18288,19870,15434,12110,9058,2076,7506,4239,12494,7322,3536,15301,3177,9389,14290,16378,1994,14302,9374,10817,1010,5699,16076,15919,3272,10115,6688,14214,9950,5238,13490,2780,14981,10472,3213,17258,18772,8718,1362,13372,7741,4592,19859,13933,3452,2406,6219,12919,15993,1969,14651,6760,16590,14357,3105,7013,8428,15362,12162,19453,11690,18178,4068,2618,12776,17276,15304,10488,8356,16324,10053,8309,15347,14895,14685,7823,5220,11490,6390,9405,7155,8821,10244,14917,6499,11990,19603,15614,15262,11410,16737,7510.39334664353
Водный Стадион,9,ЗАМОСКВОРЕЦКАЯ,6207,3204,8258,8207,10283,1933,7204,13467,12396,4958,6823,1917,4539,6739,12301,10269,16863,8612,1102,19168,14312,19978,19053,16203,14035,18033,17979,19407,3026,2502,13485,19712,8975,4210,16828,13011,8114,3810,4278,14427,13948,19086,2389,2944,19492,12363,6866,2658,13776,5682,2483,10943,16592,19593,12314,12978,2396,11306,4523,9032,13679,17890,12328,19891,12839,3419,10153,10147,11790,18181,14123,4289,18428,3794,5606,17888,6148,16977,16110,19191,7606,14608,4877,13590,17814,19706,14390,19335,5140,10709,2708,16105.821544186783
Речной вокзал,9,ЗАМОСКВОРЕЦКАЯ,14595,5112,5792,9880,11109,2347,9018,2216,5534,15072,1703,9120,1606,8177,13756,14053,12420,14435,19785,14131,10786,13423,6783,16416,5992,19756,1553,18652,9491,8707,19205,1049,5569,13644,13583,15845,6237,14151,8953,4745,16969,1718,5708,15827,16665,11680,15132,12977,4430,18626,1601,16381,5371,9515,2518,7396,19515,18960,8702,18373,6078,13688,3061,6773,12830,5518,11549,2132,10597,5483,8873,15157,17906,1053,19455,4414,16368,16150,4758,6686,8596,16834,9975,7427,3439,8832,14953,3991,15721,18101,8643,11782.29188530395
Каширская,9,ЗАМОСКВОРЕЦКАЯ,18104,1585,14267,9069,13032,15969,1392,17782,2503,10338,17378,13503,13920,18497,16402,3898,3354,3799,2882,8599,2073,17835,4942,13864,8620,9169,14638,15873,12880,12559,1627,10170,11430,7307,5246,8416,11880,15238,5062,19655,14834,16346,6039,9450,9041,8000,4306,5390,6340,7546,3148,5939,8657,13439,15400,7907,6020,2589,1491,7780,1392,11752,17015,11882,5066,18902,18630,6971,12727,2853,10085,9846,16802,18400,16074,10760,2869,6984,3301,2613,15999,13515,4571,7336,6668,13089,4668,8726,14251,5308,15683,6297.106946941024
Каховская,11,КАХОВСКАЯ,8372,18281,16900,18717,8548,16798,16380,2766,13837,11350,15698,7251,13322,16810,8343,12428,17153,19155,5237,19357,1097,6133,12508,17744,9238,10383,15938,15113,12088,7074,7022,4443,11561,12155,12834,2319,10890,19716,15388,18141,10926,9823,13975,16842,1776,3301,18195,5604,3707,18839,8986,7868,19964,10230,8647,11855,4320,15084,19686,13012,5871,2274,13811,9447,8451,14264,9398,14771,4631,16883,11879,4517,8337,8072,2721,16851,14449,2851,11385,14331,16595,17831,6950,6410,11631,16279,12473,2136,11455,16945,19477,6761.332380607412
Варшавская,11,КАХОВСКАЯ,11472,14334,4455,6861,17853,1812,17993,8645,4021,7571,16510,18747,5335,16925,7747,15796,16529,4894,4903,11943,4053,9689,5374,5055,13277,17768,16822,7607,11755,11624,3642,5536,10631,3721,1851,2363,18789,6917,4865,11612,4279,16263,14489,12571,14243,3617,6646,16665,2836,4089,5769,5190,6231,1830,7618,9193,8521,10890,18026,16853,11431,17176,17665,6617,6910,6464,11454,14671,14579,17169,5101,4035,5910,17800,5263,7985,15191,1998,17649,4646,7878,10094,7968,9452,18617,18656,8192,13852,17024,14576,12788,18023.27672686347
Киевская,12,АРБАТСК-ПОКРОВСК,6811,7672,18711,14824,13263,10924,5233,9178,18289,3578,7358,9140,1312,3298,10080,13834,11148,5670,4118,19100,13318,18345,11618,4119,12289,15484,18707,3640,16064,8245,7352,13340,19687,4839,2249,10995,18278,7684,11301,13848,11485,6593,17727,1056,11805,13784,19790,4632,16942,9651,10672,12294,2320,17134,10636,3033,4867,16709,9365,3468,3019,17493,11652,9312,6496,17394,6792,15474,3695,3221,1577,8562,19347,1626,14933,15458,3426,5707,17268,14656,17438,10562,11401,14375,2107,11392,13659,8562,13141,5323,3786,17163.780856451045
Смоленская,12,АРБАТСК-ПОКРОВСК,3324,16746,12747,15246,18197,15217,6390,15082,19056,2061,10693,3287,15995,14002,6871,14695,13165,16943,19486,1866,16336,17625,3857,3635,18950,1963,15318,14903,18292,3244,14079,7699,13518,13292,16785,19381,6533,5136,7510,17598,16518,19639,4623,13925,3882,19320,17261,18104,1244,4118,8703,2573,2559,16910,1865,1674,16842,12871,16055,11225,6801,10084,19099,9744,13157,11170,10272,9440,5362,7977,18131,1421,16370,18944,1252,2346,11133,14318,5646,19419,18036,1076,5070,7791,6666,8484,11846,7632,12419,15810,18117,12629.466075491975
Арбатская,12,АРБАТСК-ПОКРОВСК,4904,13425,13594,4947,9569,17237,13235,7116,10560,3680,12178,2934,17957,2361,11773,16990,19346,12706,8271,9188,17261,5064,17646,19749,1124,5164,10747,3146,12350,12226,1889,18027,9060,7017,13432,2228,15625,5331,11209,10333,15074,7634,2512,11605,16988,3900,18919,17277,19489,15401,15366,8219,5276,14003,11576,8081,3315,17472,10975,15804,4599,2510,8916,19805,18533,3736,10502,16550,7088,18090,3004,9781,8180,1941,14501,4813,9642,13770,4908,7792,3753,12467,5394,15530,12966,13118,3892,19208,9785,12987,14495,9615.02928208762
